# entroptics extract() calibration (synthetic burst)
# SNR=12,noise_only_recovery_pct=99.50,dropout_recovery_pct=99.50,drop_fraction_pct=32.0
"# S/N band: the read and the raw frame, both against the truth"
snr,read_corr,raw_corr,read_relerr,raw_relerr
10,0.993,0.887,0.109,0.473
50,1.000,0.995,0.028,0.095
1000,1.000,1.000,0.012,0.005
none,1.000,1.000,0.009,0.000

"# recovery against channel dropout, swept to one surviving channel"
channels_dropped_pct,channels_surviving,resolved_pct,recovery_pct_when_resolved
0.00,256,100.0,99.55
3.12,248,100.0,99.56
5.86,241,100.0,99.55
8.98,233,100.0,99.55
12.11,225,100.0,99.55
14.84,218,100.0,99.54
17.97,210,100.0,99.53
21.09,202,100.0,99.53
23.83,195,100.0,99.53
26.95,187,100.0,99.52
30.08,179,100.0,99.52
32.81,172,100.0,99.51
35.94,164,100.0,99.50
39.06,156,100.0,99.50
42.19,148,100.0,99.48
44.92,141,100.0,99.48
48.05,133,100.0,99.46
51.17,125,100.0,99.48
53.91,118,100.0,99.42
57.03,110,100.0,99.43
60.16,102,100.0,99.42
62.89,95,100.0,99.43
66.02,87,100.0,99.35
69.14,79,100.0,99.36
71.88,72,100.0,99.34
75.00,64,100.0,99.30
78.12,56,100.0,99.20
80.86,49,100.0,99.00
83.98,41,100.0,98.83
87.50,32,100.0,98.75
89.84,26,100.0,98.37
92.19,20,100.0,97.77
93.75,16,100.0,97.22
94.92,13,100.0,95.08
96.09,10,100.0,95.52
96.88,8,100.0,96.05
97.66,6,100.0,96.38
98.05,5,100.0,96.55
98.44,4,100.0,95.58
98.83,3,100.0,92.42
99.22,2,100.0,92.64
99.61,1,80.0,93.28
100.00,0,0.0,
